Region Name,Zillow Home Value Index_Current,Zillow Home Value Index_Month Over Month,Zillow Home Value Index_Quarter Over Quarter,Zillow Home Value Index_Year Over Year,Zillow Home Value Index_5 Year Annualized,Zillow Home Value Index_10 Year Annualized,Zillow Rent Index_Current,Zillow Rent Index_Month Over Month,Zillow Rent Index_Quarter Over Quarter,Zillow Rent Index_Year Over Year
90020,"$564,600 ",0.40%,1.80%,5.80%,7.80%,3.90%,"$2,663 ",0.30%,1.50%,2.50%
90022,"$455,800 ",0.30%,1.30%,5.90%,8.50%,3.70%,"$2,381 ",0.50%,3.10%,4.50%
90023,"$421,500 ",0.30%,1.10%,4.90%,9.10%,4.30%,"$2,384 ",0.50%,3.90%,4.00%
90024,"$1,266,500 ",-0.20%,-0.70%,1.40%,7.20%,3.20%,"$4,770 ",0.60%,4.00%,5.60%
90025,"$985,900 ",0.20%,0.30%,2.90%,6.40%,4.50%,"$3,997 ",0.40%,2.70%,2.90%
90026,"$943,700 ",0.00%,-0.90%,1.90%,7.90%,6.90%,"$3,312 ",0.40%,4.60%,2.50%
90027,"$1,502,300 ",-0.10%,-1.10%,0.70%,7.20%,5.20%,"$4,980 ",0.50%,-0.10%,-0.50%
90028,"$913,300 ",0.10%,0.10%,3.40%,6.20%,4.10%,"$3,225 ",0.60%,1.90%,1.60%
90029,"$919,600 ",0.00%,0.80%,10.80%,10.60%,6.30%,"$3,196 ",0.70%,3.80%,1.80%
90031,"$635,600 ",0.20%,1.50%,7.90%,11.40%,6.80%,"$2,643 ",0.30%,3.40%,4.40%
90032,"$619,700 ",0.10%,0.70%,6.60%,12.10%,6.30%,"$2,500 ",0.40%,2.90%,3.40%
90033,"$492,800 ",0.20%,2.50%,7.60%,12.10%,5.80%,"$2,438 ",0.40%,2.20%,2.60%
90034,"$1,289,700 ",-0.10%,-0.50%,3.80%,10.40%,7.00%,"$4,071 ",0.30%,2.40%,2.20%
90035,"$1,526,700 ",0.00%,0.50%,9.60%,10.00%,6.80%,"$5,067 ",0.70%,4.50%,8.00%
90036,"$1,745,700 ",-0.50%,-1.10%,0.60%,7.10%,5.20%,"$6,158 ",0.40%,2.90%,6.20%
90037,"$470,000 ",1.10%,3.10%,8.70%,11.30%,5.30%,"$2,651 ",0.60%,4.30%,6.60%
90038,"$1,036,000 ",-0.30%,0.00%,6.60%,10.60%,5.80%,"$3,441 ",0.30%,3.50%,3.60%
90039,"$1,048,100 ",0.80%,3.90%,17.10%,9.00%,6.30%,"$3,418 ",0.60%,4.40%,4.40%
90040,"$460,200 ",0.50%,2.40%,6.50%,8.40%,3.90%,"$2,408 ",0.40%,3.10%,4.90%
90041,"$912,900 ",0.00%,0.20%,5.70%,8.20%,5.90%,"$3,274 ",0.40%,4.60%,5.00%
90042,"$767,500 ",-0.10%,-0.90%,5.70%,10.30%,7.20%,"$2,860 ",0.10%,1.80%,4.30%
90043,"$663,400 ",0.00%,0.50%,3.20%,11.80%,6.60%,"$2,853 ",0.30%,1.70%,-0.10%
90044,"$436,100 ",0.40%,1.40%,6.00%,10.70%,4.70%,"$2,543 ",0.60%,3.20%,5.30%
90045,"$1,207,400 ",0.30%,1.50%,4.30%,9.40%,6.60%,"$4,135 ",0.20%,1.40%,3.90%
90046,"$1,527,800 ",0.60%,0.40%,8.50%,9.50%,5.50%,"$5,004 ",0.50%,3.50%,3.30%
90047,"$498,100 ",0.10%,1.10%,5.80%,10.20%,4.80%,"$2,589 ",0.40%,1.60%,5.00%
90048,"$1,859,800 ",0.70%,2.30%,4.20%,7.90%,5.90%,"$5,771 ",0.60%,2.30%,6.10%
90049,"$2,653,400 ",-0.10%,-0.50%,-0.60%,6.10%,6.40%,"$9,341 ",0.40%,3.00%,6.90%
90056,"$1,343,500 ",0.40%,2.30%,13.30%,11.90%,6.70%,"$4,602 ",0.60%,2.80%,2.30%
90057,"$479,400 ",0.40%,1.90%,3.40%,8.40%,3.90%,"$2,446 ",0.40%,1.70%,3.40%
90059,"$391,500 ",0.60%,1.70%,8.50%,10.90%,4.50%,"$2,442 ",0.40%,1.70%,4.40%
90061,"$411,300 ",1.00%,2.70%,8.10%,10.50%,4.30%,"$2,495 ",0.60%,2.70%,4.00%
90062,"$570,500 ",-0.10%,-0.40%,10.50%,13.60%,6.50%,"$2,681 ",0.30%,2.60%,4.70%
90063,"$484,700 ",0.90%,4.10%,10.20%,11.70%,5.60%,"$2,371 ",0.60%,3.10%,4.30%
90064,"$1,621,200 ",0.00%,0.00%,3.20%,10.40%,7.10%,"$5,176 ",0.50%,2.70%,3.60%
90065,"$825,400 ",0.00%,0.40%,3.80%,8.30%,6.00%,"$3,144 ",0.40%,3.50%,3.70%
90066,"$1,441,400 ",0.10%,0.40%,2.70%,10.20%,7.80%,"$4,575 ",0.50%,2.60%,3.30%
90067,"$1,159,800 ",0.20%,-0.30%,8.90%,6.90%,3.10%,"$4,545 ",0.60%,2.80%,3.80%
90068,"$1,442,000 ",-0.10%,-0.90%,0.10%,7.40%,3.40%,"$5,325 ",0.40%,2.80%,1.80%
90077,"$2,612,500 ",-0.20%,-0.50%,-0.40%,5.60%,5.30%,"$9,602 ",0.30%,0.50%,7.50%
90094,"$1,021,200 ",0.10%,0.50%,1.00%,8.80%,6.20%,"$3,893 ",0.50%,1.60%,4.70%
90272,"$3,106,400 ",0.20%,0.70%,3.10%,7.20%,7.10%,"$10,511 ",0.50%,3.50%,5.20%
90291,"$1,990,500 ",-0.20%,-1.00%,0.50%,8.10%,7.20%,"$5,944 ",0.40%,2.30%,4.90%
90293,"$775,600 ",-0.20%,-0.30%,3.10%,8.50%,4.90%,"$3,285 ",0.50%,3.50%,5.50%
90731,"$629,800 ",0.60%,1.10%,4.00%,6.30%,3.20%,"$2,751 ",0.50%,2.90%,4.20%
90732,"$641,500 ",0.00%,-0.30%,1.80%,5.50%,3.40%,"$2,892 ",0.30%,1.20%,4.70%
90744,"$466,400 ",0.50%,1.40%,7.00%,8.60%,3.50%,"$2,506 ",0.30%,1.80%,3.90%
91040,"$631,600 ",0.20%,0.70%,2.80%,8.20%,4.80%,"$2,902 ",0.50%,0.70%,4.10%
91042,"$638,400 ",0.50%,0.90%,2.40%,8.20%,4.70%,"$2,861 ",0.60%,1.60%,3.20%
91303,"$521,700 ",0.00%,-0.20%,5.60%,7.40%,4.50%,"$2,749 ",0.50%,3.40%,6.10%
91304,"$644,900 ",0.10%,0.70%,3.90%,6.20%,4.10%,"$3,116 ",0.30%,3.50%,5.20%
91306,"$576,400 ",-0.10%,0.00%,3.30%,6.60%,4.50%,"$2,927 ",0.40%,2.60%,4.70%
91311,"$646,200 ",0.10%,0.40%,2.10%,6.20%,3.50%,"$3,118 ",0.20%,2.60%,4.50%
91316,"$714,700 ",-0.10%,1.10%,5.70%,7.60%,5.30%,"$3,135 ",0.20%,1.50%,3.90%
91324,"$627,900 ",0.00%,0.00%,0.60%,6.60%,3.80%,"$3,102 ",0.30%,3.10%,5.90%
91325,"$701,600 ",0.00%,0.90%,1.60%,6.30%,4.30%,"$3,281 ",0.30%,2.10%,2.40%
91326,"$789,500 ",0.10%,0.70%,2.00%,4.60%,3.40%,"$3,559 ",0.50%,2.20%,2.30%
91331,"$493,200 ",0.10%,0.50%,5.90%,8.40%,4.70%,"$2,681 ",0.40%,2.40%,6.70%
91335,"$552,300 ",0.20%,0.70%,4.00%,6.80%,4.80%,"$2,843 ",0.20%,2.30%,5.10%
91342,"$526,400 ",0.20%,0.80%,4.40%,7.40%,4.20%,"$2,742 ",0.30%,2.30%,6.90%
91343,"$597,800 ",0.10%,0.20%,3.30%,6.90%,4.30%,"$2,995 ",0.10%,1.20%,5.70%
91344,"$651,200 ",0.30%,1.10%,3.70%,6.50%,4.40%,"$3,127 ",0.20%,2.20%,4.20%
91345,"$544,000 ",0.40%,1.20%,5.20%,7.30%,4.40%,"$2,815 ",0.10%,1.40%,7.40%
91352,"$555,400 ",0.30%,1.20%,5.50%,9.00%,4.90%,"$2,788 ",0.30%,2.30%,6.30%
91356,"$1,007,200 ",0.50%,1.60%,12.60%,6.90%,4.80%,"$4,135 ",0.60%,2.60%,5.10%
91364,"$911,900 ",0.30%,1.20%,5.20%,4.80%,3.60%,"$4,027 ",0.50%,2.30%,4.10%
91367,"$773,700 ",-0.10%,0.00%,1.90%,5.20%,4.20%,"$3,441 ",0.60%,2.40%,3.10%
91401,"$806,500 ",0.10%,0.40%,3.70%,6.80%,5.10%,"$3,447 ",0.60%,3.30%,1.60%
91402,"$492,200 ",0.10%,0.50%,6.70%,7.90%,4.90%,"$2,585 ",0.30%,1.80%,4.20%
91403,"$1,104,500 ",0.00%,0.30%,3.10%,7.50%,4.80%,"$4,351 ",0.30%,2.10%,3.30%
91405,"$586,100 ",0.00%,0.10%,4.90%,7.40%,5.20%,"$2,894 ",0.20%,2.50%,4.40%
91406,"$606,700 ",0.30%,0.90%,5.10%,7.30%,5.20%,"$2,933 ",0.30%,1.40%,4.70%
91411,"$738,000 ",0.10%,0.80%,1.00%,6.40%,5.20%,"$3,186 ",0.40%,1.70%,3.00%
91423,"$1,117,800 ",0.30%,1.10%,3.40%,7.50%,5.40%,"$4,238 ",0.20%,1.80%,2.50%
91436,"$1,649,800 ",-0.10%,-0.10%,4.10%,6.80%,4.20%,"$6,381 ",0.80%,3.20%,5.50%
91601,"$752,500 ",0.50%,2.30%,11.20%,9.50%,5.50%,"$3,069 ",0.50%,2.50%,3.60%
91602,"$910,400 ",0.10%,0.30%,5.80%,6.80%,4.60%,"$3,486 ",0.30%,1.90%,2.90%
91604,"$1,375,800 ",0.20%,0.70%,3.40%,8.50%,5.90%,"$4,986 ",0.60%,3.10%,4.00%
91605,"$578,500 ",0.60%,1.90%,5.90%,9.00%,5.30%,"$2,909 ",0.30%,2.60%,6.40%
91606,"$647,900 ",0.10%,1.10%,9.20%,9.70%,6.00%,"$2,921 ",0.30%,1.90%,3.30%
91607,"$907,200 ",0.10%,-0.10%,4.20%,6.40%,5.20%,"$3,673 ",0.60%,4.10%,4.10%
