LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002190532-0001-1,KB COLLECTIVE FOR COMPASSION AND CARE INC,THE KIND CENTER & KB CENTER FOR COMPASSIONATE CARE,1944 N CAHUENGA BLVD,LOS ANGELES,90068-3853,1944 CAHUENGA 90068-3853,4872   TOPANGA CANYON BLVD   #344,WOODLAND HILLS,91364-4229,888888,Medical Marijuana Collective,4,10/13/2006,,"(34.1066, -118.3303)"
0002273482-0001-6,DOCTOR KUSH WORLD COLLECTIVE INC,,7569   MELROSE AVENUE,LOS ANGELES,90046-7444,7569 MELROSE 90046-7444,,,,888888,Medical Marijuana Collective,5,09/11/2007,,"(34.0839, -118.355)"
0002239291-0001-7,MELROSE HERBAL COLLECTIVE INC,,1603 S LA BREA AVENUE,LOS ANGELES,90019-5434,1603 LA BREA 90019-5434,,,,888888,Medical Marijuana Collective,10,04/11/2007,,"(34.0454, -118.3457)"
0002247121-0001-5,HERBAL SOLUTIONS SOUTHERN CALIFORNIA,LA BREA COMPASSIONATE CAREGIVERS,25937   WESTERN AVENUE,LOMITA,90717-3361,25937 WESTERN 90717-3361,25937   WESTERN AVENUE,LOMITA,90717-3361,888888,Medical Marijuana Collective,15,05/15/2007,,"(33.7871, -118.3081)"
0002584588-0002-0,LA ORGANIC PHARMACY INC,,5738 W WASHINGTON BLVD,LOS ANGELES,90016-2429,5738 WASHINGTON 90016-2429,,,,888888,Medical Marijuana Collective,10,10/28/2011,,"(34.0343, -118.3694)"
0002190496-0002-1,PLATINUM CLUB INC,,18441   VANOWEN STREET,RESEDA,91335-5324,18441 VANOWEN 91335-5324,,,,888888,Medical Marijuana Collective,3,07/01/2018,,"(34.194, -118.5349)"
0002165101-0001-1,MCFLOWER CORP,DELTA 9 CAREGIVERS,7648 VAN NUYS BLVD,VAN NUYS,91405-1358,7648 VAN NUYS 91405-1358,4648   SALTILLO STREET,WOODLAND HILLS,91364-5427,888888,Medical Marijuana Collective,2,07/06/2006,,"(34.2096, -118.4486)"
0002275034-0001-9,KUSH KORNER CAREGIVERS,,11045   SHERMAN WAY,SUN VALLEY,91352-1352,11045 SHERMAN 91352-1352,,,,888888,Medical Marijuana Collective,6,09/13/2007,,"(34.2254, -118.376)"
0002239788-0001-6,ORGANIC GREEN TREATMENT CENTER INC,LA CANNABIS CO. - LOS ANGELES,3791   2ND AVENUE,LOS ANGELES,90018-4308,3791 2ND 90018-4308,,,,888888,Medical Marijuana Collective,10,04/11/2007,,"(34.0188, -118.3193)"
0002257519-0001-7,GREEN PLANT THERAPY INC,BUD KING,18438   SATICOY STREET,RESEDA,91335-2910,18438 SATICOY 91335-2910,18534   DEVONSHIRE     SUITE #331,NORTHRIDGE,91324-0000,888888,Medical Marijuana Collective,3,07/01/2007,,"(34.2083, -118.5352)"
0002086566-0001-2,MOTHER NATURE'S REMEDY CAREGIVERS INC,,22815   VENTURA BLVD,WOODLAND HILLS,91364-1202,22815 VENTURA 91364-1202,22815   VENTURA BLVD   UNIT #291,WOODLAND HILLS,91364-1202,888888,Medical Marijuana Collective,3,01/10/2006,,"(34.1659, -118.624)"
0002205123-0001-4,ALTERNATIVE MEDICINAL CAREGIVERS INC,GREEN ANGEL,22748 VENTURA BLVD,WOODLAND HILLS,91364-1333,22748 VENTURA 91364-1333,18534   DEVONSHIRE     SUITE #428,NORTHRIDGE,91343-0000,888888,Medical Marijuana Collective,3,12/15/2006,,"(34.1664, -118.6219)"
0002243160-0001-6,"THE GREEN EARTH FARMACIE, INC",,7760 BURNET AVENUE,VAN NUYS,91405-1007,7760 BURNET 91405-1007,6811   WOODMAN AVENUE,VAN NUYS,91405-4269,888888,Medical Marijuana Collective,6,04/30/2007,,"(34.2113, -118.4629)"
0003028216-0001-1,CSA LA LLC,CANNASAFE,7027   HAYVENHURST AVENUE,VAN NUYS,91406-3802,7027 HAYVENHURST 91406-3802,7027   HAYVENHURST AVENUE   BUILDING,VAN NUYS,91406-3802,888888,Medical Marijuana Collective,6,01/01/2018,,"(34.1983, -118.493)"
0002256972-0001-2,DISCOUNT CAREGIVERS,DC COLLECTIVE,8053 DEERING AVENUE,CANOGA PARK,91304-5011,8053 DEERING 91304-5011,,,,888888,Medical Marijuana Collective,3,06/29/2007,,"(34.2164, -118.595)"
0002275032-0001-0,NILE COOPERATIVE CORPORATION,NILE COLLECTIVE / GREEN CITY COLLECTIVE,8405   PERSHING DRIVE   SUITE #100,PLAYA DEL REY,90293-7870,8405 PERSHING 90293-7870,,,,888888,Medical Marijuana Collective,11,05/29/2007,,"(33.957, -118.4432)"
0003087096-0001-4,SCIAGRI,,7532   ATOLL AVENUE,NORTH HOLLYWOOD,91605-1905,7532 ATOLL 91605-1905,922 E ANGELENO AVENUE,BURBANK,91501-1419,888888,Medical Marijuana Collective,2,01/01/2018,,"(34.2085, -118.4205)"
0003087290-0001-3,MAVOD VENTURES INC,,3411 S SAN PEDRO STREET,LOS ANGELES,90011-2436,3411 SAN PEDRO 90011-2436,528 S BROADWAY,LOS ANGELES,90013-2302,888888,Medical Marijuana Collective,9,01/01/2018,,"(34.0149, -118.2658)"
0003075540-0001-9,NIVA LABS LLC,,13171   TELFAIR AVENUE   UNIT #B,SYLMAR,91342-3571,13171 TELFAIR 91342-3571,1158   WESLEY AVENUE,PASADENA,91104-3157,888888,Medical Marijuana Collective,7,01/01/2018,,"(34.3106, -118.4793)"
0002174731-0001-0,CALIFORNIA COMPASSIONATE CARE NETWORK INC,,4720 VINELAND AVENUE,NORTH HOLLYWOOD,91602-1222,4720 VINELAND 91602-1222,4720 VINELAND AVENUE,NORTH HOLLYWOOD,91602-1222,888888,Medical Marijuana Collective,2,08/15/2006,,"(34.1558, -118.3702)"
0002173768-0001-5,TRINITY MEDICAL ALLIANCE INC,,2131 WESTWOOD BLVD,LOS ANGELES,90025-6330,2131 WESTWOOD 90025-6330,2131   WESTWOOD BLVD,LOS ANGELES,90025-6330,888888,Medical Marijuana Collective,5,06/01/2006,,"(34.0445, -118.4323)"
0002173088-0001-5,HOLLYWOOD HOLISTIC HEALERS INC,GRACE MEDICAL,21825   NORDHOFF STREET,CHATSWORTH,91311-5712,21825 NORDHOFF 91311-5712,946 N HUDSON AVENUE   #6,LOS ANGELES,90038-2569,888888,Medical Marijuana Collective,12,08/09/2006,,"(34.2359, -118.6036)"
0003023253-0001-5,MARCUS MARTIN/CHERYL MARTIN,BOMB FLOWER SMOKE SHOP,8945 S WESTERN AVENUE   SUITE #A,LOS ANGELES,90047-3549,8945 WESTERN 90047-3549,,,,888888,Medical Marijuana Collective,8,01/01/2018,,"(33.955, -118.3094)"
0003078390-0001-2,LA TEST LABS LLC,LA TESTING LAB,621 W ROSECRANS AVENUE   SUITE #104,GARDENA,90248-1516,621 ROSECRANS 90248-1516,621 W ROSECRANS AVENUE   SUITE #104,GARDENA,90248-1516,888888,Medical Marijuana Collective,15,01/01/2018,,"(33.9029, -118.2856)"
0003073331-0001-9,GREENLIGHT RESEARCH & TESTING LABORATORY LLC,,1320 W 12TH PLACE,LOS ANGELES,90015-2015,1320 12TH 90015-2015,4500   FORMAN AVENUE   SUITE #2,TOLUCA LAKE,91602-1615,888888,Medical Marijuana Collective,1,01/01/2018,,"(34.0436, -118.2731)"
0003075806-0001-6,ILLUMICAN SCIENTIFIC INC,,9870   SAN FERNANDO ROAD   #101,PACOIMA,91331-2665,9870 SAN FERNANDO 91331-2665,2100   REDONDO BEACH BLVD   #C141,TORRANCE,90504-1683,888888,Medical Marijuana Collective,7,01/01/2018,,"(34.2505, -118.4041)"
0003081736-0001-6,KURE LABS INC,,14770   CALVERT STREET   BUILDING,VAN NUYS,91411-2705,14770 CALVERT 91411-2705,,,,888888,Medical Marijuana Collective,6,01/01/2018,,"(34.1814, -118.4546)"
0002850257-0002-8,PURPLE HEART COMPASSION INC,,8360   MELROSE AVENUE   UNIT #101,LOS ANGELES,90069-6501,8360 MELROSE 90069-6501,,,,888888,Medical Marijuana Collective,5,01/01/2018,,"(34.0834, -118.3724)"
0003072744-0002-0,CALIGREEN LABORATORY,,"13340   SATICOY STREET   UNIT #H, I, J",NORTH HOLLYWOOD,91605-7635,13340 SATICOY 91605-7635,23679   CALABASAS ROAD   #729,CALABASAS,91302-1502,888888,Medical Marijuana Collective,2,01/01/2018,,"(34.2076, -118.424)"
0002856547-0001-4,JAIME MORENO,AMERICAN CANNABIS COMPANY,7503   LAUREL CANYON BLVD,NORTH HOLLYWOOD,91605-3149,7503 LAUREL CANYON 91605-3149,333   WASHINGTON BLVD   #505,MARINA DEL REY,90292-5152,888888,Medical Marijuana Collective,2,08/01/2006,,"(34.2071, -118.3966)"
0002226606-0001-1,MMR CENTER INC,,14000   VENTURA BLVD,SHERMAN OAKS,91423-3512,14000 VENTURA 91423-3512,,,,888888,Medical Marijuana Collective,4,02/16/2007,,"(34.1488, -118.4374)"
0002211791-0001-7,HHC PLUS INC A CA NON-PROF CORP,,1901 S ALAMEDA STREET #112,LOS ANGELES,90058-1037,1901 ALAMEDA 90058-1037,1161 N OGDEN DRIVE UNIT #100,WEST HOLLYWOOD,90046-5332,888888,Medical Marijuana Collective,14,12/28/2006,,"(34.0186, -118.2396)"
0002333808-0002-5,GREEN EARTH PHARMACY INC,,1227   253RD STREET,HARBOR CITY,90710-2413,1227 253RD 90710-2413,,,,888888,Medical Marijuana Collective,15,04/30/2007,,"(33.795, -118.2982)"
0002168149-0001-3,GREENHOUSE ORGANICS INC,THE GREENHOUSE,5156 SEPULVEDA BLVD,SHERMAN OAKS,91403-1154,5156 SEPULVEDA 91403-1154,5156 SEPULVEDA BLVD,SHERMAN OAKS,91403-1154,888888,Medical Marijuana Collective,4,07/25/2006,,"(34.164, -118.4661)"
0002247944-0001-1,HOLISTIC ALTERNATIVE INC. #57/D,,18306   EDDY STREET,NORTHRIDGE,91325-3314,18306 EDDY 91325-3314,6520   PLATT AVENUE,WEST HILLS,91307-3218,888888,Medical Marijuana Collective,12,04/17/2007,,"(34.2273, -118.5319)"
0002231857-0001-1,ALTERNATIVE MEDICINE GROUP INC,ALTERNATIVE MEDICINE GROUP,1423   ABBOT KINNEY BLVD,VENICE,90291-3740,1423 ABBOT KINNEY 90291-3740,POST OFFICE BOX #955,NORTH HOLLYWOOD,91603-0955,888888,Medical Marijuana Collective,11,01/01/2007,,"(33.9906, -118.4651)"
0002224443-0001-1,BEACH ENLIGHTENMENT AND COMPASSIONATE HEALING CORPORATION,BEACH CENTER COLLECTIVE,1115 W 190TH STREET,GARDENA,90248-4303,1115 190TH 90248-4303,,,,888888,Medical Marijuana Collective,15,02/08/2007,,"(33.8589, -118.2953)"
0002053218-0001-8,CYON CORPORATION INC,MEDMEN BEVERLY HILLS,110 S ROBERTSON BLVD,LOS ANGELES,90048-3208,110 ROBERTSON 90048-3208,10115   JEFFERSON BLVD,CULVER CITY,90232-3519,888888,Medical Marijuana Collective,5,07/01/2005,,"(34.0752, -118.3836)"
0002207198-0001-7,PROGRESSIVE HORIZON INC,WEST COAST COLLECTIVE,837 S LOS ANGELES STREET,LOS ANGELES,90014-3301,837 LOS ANGELES 90014-3301,,,,888888,Medical Marijuana Collective,14,12/15/2006,,"(34.0414, -118.2533)"
0002117284-0002-2,ORGANICA INC,,7301   SEPULVEDA BLVD,VAN NUYS,91405-1782,7301 SEPULVEDA 91405-1782,,,,888888,Medical Marijuana Collective,6,01/01/2018,,"(34.2032, -118.4667)"
0002256875-0001-8,420 GRAND INC,,13509 HUBBARD STREET,SYLMAR,91342-4419,13509 HUBBARD 91342-4419,,,,888888,Medical Marijuana Collective,7,06/29/2007,,"(34.3099, -118.4274)"
0002202307-0001-0,"COMPASSIONATE PATIENT RESOURCES, INC",,18526 PARTHENIA STREET,NORTHRIDGE,91324-4025,18526 PARTHENIA 91324-4025,,,,888888,Medical Marijuana Collective,12,11/22/2006,,"(34.2282, -118.537)"
0002220478-0001-6,NEW AGE COMPASSION CARE CENTER CORP,NEW AGE CARE CENTER,350 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-4529,350 MARTIN LUTHER KING JR 90037-4529,19720   VENTURA BLVD   SUITE #101,WOODLAND HILLS,91364-6308,888888,Medical Marijuana Collective,9,01/29/2007,,"(34.0108, -118.2796)"
0002850246-0001-1,WONDERLAND OASIS INC,,9830   SAN FERNANDO ROAD,PACOIMA,91331-2636,9830 SAN FERNANDO 91331-2636,,,,888888,Medical Marijuana Collective,7,05/07/2007,,"(34.25, -118.4034)"
0002198520-0001-7,ORIGINAL BALBOA CAREGIVERS INC,HAVANA GREEN,9419   MASON AVENUE,CHATSWORTH,91311-5204,9419 MASON 91311-5204,POST OFFICE BOX #9301,CALABASAS,91372-9301,888888,Medical Marijuana Collective,12,11/30/2006,,"(34.2413, -118.581)"
0002250336-0001-3,SYLMAR CAREGIVERS INC,,1787   WESTWOOD BLVD,LOS ANGELES,90024-5607,1787 WESTWOOD 90024-5607,11138   HERSHEY STREET,SUN VALLEY,91352-1216,888888,Medical Marijuana Collective,5,06/01/2007,,"(34.0508, -118.4382)"
0002256995-0001-3,GRANADA HILLS DISCOUNT FARMACY INC,,6710   VAN NUYS BLVD   UNIT #A,VAN NUYS,91405-4646,6710 VAN NUYS 91405-4646,,,,888888,Medical Marijuana Collective,6,06/29/2007,,"(34.1925, -118.4482)"
0002990977-0001-5,LOS ANGELES/MISSION HILLS WELLNESS CAREGIVERS CENTER LLC,,22708   VENTURA BLVD,WOODLAND HILLS,91364-1333,22708 VENTURA 91364-1333,,,,888888,Medical Marijuana Collective,3,06/01/2017,,"(34.1664, -118.6209)"
0002236085-0001-3,GREEN AID RECOVERY GROUP INC,"GREEN FIELD COLLECTIVE, HIGH NOTE LA  | THE RECOVERY GROUP INC",5359   VALLEY BLVD,LOS ANGELES,90032-3930,5359 VALLEY 90032-3930,POST OFFICE BOX #642282,LOS ANGELES,90064-8049,888888,Medical Marijuana Collective,14,03/01/2007,,"(34.0753, -118.1666)"
0002104144-0003-0,THE LITTLE COTTAGE CAREGIVERS LLC,,979 N LA BREA AVENUE,WEST HOLLYWOOD,90038-2321,979 LA BREA 90038-2321,,,,888888,Medical Marijuana Collective,5,08/15/2006,,"(34.0886, -118.3447)"
0002245715-0001-4,VENICE CAREGIVER FOUNDATION INC,MEDMEN SUN VALLEY,1310   ABBOT KINNEY BLVD,VENICE,90291-3758,1310 ABBOT KINNEY 90291-3758,5561   SULTANA AVENUE   #4c,TEMPLE CITY,91780-2300,888888,Medical Marijuana Collective,11,05/11/2007,,"(33.9909, -118.4678)"
0002263119-0001-1,VALLEY HERBAL HEALING CENTER INC,,11447 VANOWEN STREET,NORTH HOLLYWOOD,91605-6219,11447 VANOWEN 91605-6219,,,,888888,Medical Marijuana Collective,2,07/30/2007,,"(34.1939, -118.3807)"
0002289515-0001-2,LOS ANGELES WELLNESS CENTER LLC,ERBA,12320 W PICO BLVD,LOS ANGELES,90064-1137,12320 PICO 90064-1137,,,,888888,Medical Marijuana Collective,11,11/01/2006,,"(34.0281, -118.4524)"
0002509127-0001-8,NEW ERA CAREGIVERS,,1238 S FLOWER STREET,LOS ANGELES,90015-2117,1238 FLOWER 90015-2117,,,,888888,Medical Marijuana Collective,14,05/04/2010,,"(34.0401, -118.2667)"
0000382947-0002-9,PATIENTS AGAINST PAIN INC,THE BRIDGE & PAP,1501 E 17TH STREET,LOS ANGELES,90021-3147,1501 17TH 90021-3147,,,,888888,Medical Marijuana Collective,14,05/12/2006,,"(34.0235, -118.2448)"
0002258885-0001-6,PURPLE HEART COMPASSIONATE INC,,1425   LONG BEACH  AVENUE,LOS ANGELES,90021-,1425 LONG BEACH  90021-,,,,888888,Medical Marijuana Collective,14,07/01/2007,,"(0, 0)"
0002270444-0001-9,LAHC COLLECTIVE INC,,9074   DE GARMO AVENUE,SUN VALLEY,91352-2605,9074 DE GARMO 91352-2605,,,,888888,Medical Marijuana Collective,6,08/29/2007,,"(34.2343, -118.3732)"
0002218073-0001-2,THE RELIEF COLLECTIVE INC,,5816 W PICO BLVD,LOS ANGELES,90019-3713,5816 PICO 90019-3713,15127   HOLIDAY WAY,SYLMAR,91342-5503,888888,Medical Marijuana Collective,10,01/18/2007,,"(34.0509, -118.365)"
0002203314-0003-3,VIRGIL GRANT III,MED X NOW,1601 S SOTO STREET,LOS ANGELES,90023-2621,1601 SOTO 90023-2621,603 E UNIVERSITY DRIVE SUITE #B-167,CARSON,90746-1969,888888,Medical Marijuana Collective,14,08/10/2007,,"(34.0208, -118.2206)"
0002117413-0001-1,MEDICAL CAREGIVERS COOPERATIVE,,1039 N MISSION ROAD,LOS ANGELES,90033-1218,1039 MISSION 90033-1218,,,,888888,Medical Marijuana Collective,14,05/22/2006,,"(34.0595, -118.2156)"
0002033952-0001-0,VALLEY COLLECTIVE CARE INC,,5441   TOPANGA CANYON BLVD,WOODLAND HILLS,91367-6314,5441 TOPANGA CANYON 91367-6314,,,,888888,Medical Marijuana Collective,3,04/15/2005,,"(34.1698, -118.6062)"
0002236381-0001-0,HOLISTIC PAIN RELIEF INC,,5993 S ST ANDREWS PLACE,LOS ANGELES,90047-1308,5993 ST ANDREWS 90047-1308,,,,888888,Medical Marijuana Collective,8,03/30/2007,,"(0, 0)"
0002228537-0001-3,CITY COMPASSIONATE CAREGIVERS,CITY COMPASSIONATE CAREGIVERS,2235 E 7TH STREET,LOS ANGELES,90023-1019,2235 7TH 90023-1019,,,,888888,Medical Marijuana Collective,14,04/01/2007,,"(34.0348, -118.2237)"
0002210665-0001-9,MID CITY CANNABIS CLUB INC,LA BREA COLLECTIVE,5057 W PICO BLVD,LOS ANGELES,90019-4129,5057 PICO 90019-4129,,,,888888,Medical Marijuana Collective,10,12/28/2006,,"(34.0478, -118.348)"
0002941059-0001-9,UNIVERSE VITALITY CORPORATION,,219 W 4TH STREET   SPACE #A,LOS ANGELES,90013-0000,219 4TH 90013-0000,,,,888888,Medical Marijuana Collective,14,10/21/2016,,"(0, 0)"
0002257045-0001-9,THERAPEUTIC HEALTH COLLECTIVE INC,,621 W ROSECRANS AVENUE UNIT #101,GARDENA,90248-1516,621 ROSECRANS 90248-1516,,,,888888,Medical Marijuana Collective,15,06/20/2007,,"(33.9018, -118.2858)"
0002253054-0001-9,SAFE HARBOR PATIENT'S COLLECTIVE INC,,5953 HAZELTINE AVENUE #B,VAN NUYS,91401-3778,5953 HAZELTINE 91401-3778,,,,888888,Medical Marijuana Collective,2,06/12/2007,,"(34.1787, -118.4399)"
0002871131-0001-7,LINCOLN HEALTH,,5650 W WASHINGTON BLVD,LOS ANGELES,90016-1930,5650 WASHINGTON 90016-1930,12115 MAGNOLIA BLVD #221,NORTH HOLLYWOOD,91607-2609,888888,Medical Marijuana Collective,10,11/17/2015,,"(34.0356, -118.367)"
0002987580-0001-9,KEEP EM LIT,,1345 W MANCHESTER AVENUE   SUITE #F,LOS ANGELES,90044-2257,1345 MANCHESTER 90044-2257,,,,888888,Medical Marijuana Collective,8,08/01/2016,,"(33.9603, -118.2998)"
0002889921-0001-3,ORGANIC CAREGIVERS MEDICAL CANNIBIS INFORMATION EDUCATION CENTER LLC,,2249   WESTWOOD BLVD   UNIT #A,LOS ANGELES,90064-2017,2249 WESTWOOD 90064-2017,,,,888888,Medical Marijuana Collective,5,05/12/2010,,"(34.043, -118.4311)"
0002260907-0001-2,NATURES CURE INC,NATURE'S CURE INC | NATURE'S CURE INC.,8740 S SEPULVEDA BLVD   #105,LOS ANGELES,90045-4000,8740 SEPULVEDA 90045-4000,10115   JEFFERSON BLVD,CULVER CITY,90232-3519,888888,Medical Marijuana Collective,11,08/28/2007,,"(33.9577, -118.3958)"
0002195358-0001-6,KUSH ALLEY COLLECTIVE INC,,16733   SCHOENBORN STREET,NORTH HILLS,91343-6107,16733 SCHOENBORN 91343-6107,16733   SCHOENBORN STREET,NORTH HILLS,91343-6107,888888,Medical Marijuana Collective,12,10/01/2006,,"(34.2229, -118.4978)"
0002627252-0001-8,KML CONSULTANT INC,,9001 S NORMANDIE AVENUE,LOS ANGELES,90044-2023,9001 NORMANDIE 90044-2023,6709 LA TIJERA BLVD #568,LOS ANGELES,90045-2017,888888,Medical Marijuana Collective,0,07/23/2012,,"(33.9558, -118.3002)"
0002172987-0001-7,"TLC, INC",,3650 E OLYMPIC BLVD,LOS ANGELES,90023-3129,3650 OLYMPIC 90023-3129,,,,888888,Medical Marijuana Collective,14,08/09/2006,,"(34.0178, -118.1986)"
